Unit,Cluster,Source,Destination,Cdyn reduction
FL,Sampler,Gen9LPClient,PVC_A21,1.12
FL,Sampler,Gen9LPSoC,PVC_A21,1.12
FL,Sampler,Gen11,PVC_A21,1.12
FL,Sampler,Gen11LP,PVC_A21,1.12
FL,Sampler,Gen12LP,PVC_A21,1.12
DSS,Foveros,PVC_A21,PVC_A21,1.0
RamboDSS,Foveros,PVC_A21,PVC_A21,1.0
Base,Foveros,PVC_A21,PVC_A21,1.0
LSC,LSC,PVC_A21,PVC_A21,1.0
FPU0,EU,Gen10LP,DG2,1.15
FPU0,EU,Gen8,DG2,1.15
FPU0,EU,Gen8SoC,DG2,1.15
FPU0,EU,Gen9LPClient,DG2,1.15
FPU0,EU,Gen9LPSoC,DG2,1.15
FPU0,EU,Gen11,DG2,1.15
FPU0,EU,Gen11LP,DG2,1.15
FPU0,EU,Gen12LP,DG2,1.15
FPU0,EU,Gen12HP,DG2,1.15
FPU0,EU,Gen10LP,ADL,1.15
FPU0,EU,Gen8,ADL,1.15
FPU0,EU,Gen8SoC,ADL,1.15
FPU0,EU,Gen9LPClient,ADL,1.15
FPU0,EU,Gen9LPSoC,ADL,1.15
FPU0,EU,Gen11,ADL,1.15
FPU0,EU,Gen12LP,Gen12LP,1.15
FPU0,EU,Gen11LP,ADL,1.15
FPU0,EU,Gen12LP,ADL,1.15
FPU0,EU,Gen12HP,ADL,1.15
ExtraPipe,EU,Gen12HP,DG2,1.15
ExtraPipe,EU,Gen12HP,ADL,1.15
FPU0,EU,Gen10LP,PVC_Scaled,1.15
FPU0,EU,Gen8,PVC_Scaled,1.15
FPU0,EU,Gen8SoC,PVC_Scaled,1.15
FPU0,EU,Gen9LPClient,PVC_Scaled,1.15
FPU0,EU,Gen9LPSoC,PVC_Scaled,1.15
FPU0,EU,Gen11,PVC_Scaled,1.15
FPU0,EU,Gen11LP,PVC_Scaled,1.15
FPU0,EU,Gen12LP,PVC_Scaled,1.15
FPU0,EU,Gen12HP,PVC_Scaled,1.15
ExtraPipe,EU,Gen12HP,PVC_Scaled,1.15
FPU0,EU,DG2,DG2,1.0
FPU1,EU,DG2,DG2,1.0
ExtraPipe,EU,DG2,DG2,1.0
FPU0,EU,PVCDP,RLTCONCEPT,0.8420000000000001
FPU1,EU,Gen11LP,RLTCONCEPT,0.8420000000000001
FPU1,EU,PVCDP,RLTCONCEPT,0.8420000000000001
FPU2,EU,PVCDP,RLTCONCEPT,0.8420000000000001
FPU0,EU,PVCXT,RLTCONCEPT,0.95
ExtraPipe,EU,PVCDP,RLTCONCEPT,0.8340000000000001
ExtraPipe,EU,PVCXT,RLTCONCEPT,0.8340000000000001
SpineCompute,FabricsSpine,PVCDP,RLTCONCEPT,0.9
SpineBaseRambo,FabricsSpine,PVCDP,RLTCONCEPT,0.95
DSS,Foveros,PVCDP,RLTCONCEPT,0.9
RamboDSS,Foveros,PVCDP,RLTCONCEPT,0.95
Base,Foveros,PVCDP,RLTCONCEPT,0.95
FPU0,EU,PVCDP,RLTB_EC_0_5,1.0
FPU1,EU,Gen11LP,RLTB_EC_0_5,1.0
FPU1,EU,PVCDP,RLTB_EC_0_5,1.0
FPU2,EU,PVCDP,RLTB_EC_0_5,1.0
FPU0,EU,PVCXT,RLTB_EC_0_5,1.0
ExtraPipe,EU,PVCDP,RLTB_EC_0_5,0.89
ExtraPipe,EU,PVCXT,RLTB_EC_0_5,0.89
ExtraPipe,EU,PVCXTTrend,RLTB_EC_0_5,1.0
SpineCompute,FabricsSpine,PVCDP,RLTB_EC_0_5,1.0
SpineBaseRambo,FabricsSpine,PVCDP,RLTB_EC_0_5,1.0
DSS,Foveros,PVCDP,RLTB_EC_0_5,1.0
DSS,Foveros,PVCXTTrend,RLTB_EC_0_5,0.95
RamboDSS,Foveros,PVCDP,RLTB_EC_0_5,1.0
Base,Foveros,PVCDP,RLTB_EC_0_5,1.0
ExtraPipe,EU,PVCDP,PVCK2xSA,1.9
ExtraPipe,EU,PVCXT,PVCK2xSA,1.7
GA,EU,PVCDP,PVCXTTrend,0.98
GRF,EU,PVCDP,PVCXTTrend,0.9
TC,EU,PVCDP,PVCXTTrend,0.95
GA,EU,PVCDP,RLT1,0.98
GRF,EU,PVCDP,RLT1,0.9
TC,EU,PVCDP,RLT1,0.95
GA,EU,PVCXTTrend,RLT1,1.0
GRF,EU,PVCXTTrend,RLT1,1.0
TC,EU,PVCXTTrend,RLT1,1.0
GA,EU,PVCDP,RLTB_EC_0_5,0.98
GRF,EU,PVCDP,RLTB_EC_0_5,0.95
TC,EU,PVCDP,RLTB_EC_0_5,0.95
ExtraPipe,EU,PVCDP,PVCXTTrend,0.98
ExtraPipe,EU,PVCDP,RLT1,0.9
ExtraPipe,EU,PVCXTTrend,RLT1,0.9179999999999999
FPU0,EU,PVCDP,RLT1,1.0
FPU0,EU,PVCXTTrend,RLT1,1.0
FPU1,EU,PVCDP,RLT1,1.0
FPU1,EU,PVCXTTrend,RLT1,1.0
ExtraPipe,EU,DG2,Xe2,1.0
FPU2,EU,Xe3_XPC,Xe3_XPC,1.0
FPU2,EU,RLT1,Xe3_XPC,1.0
FPU2,EU,PVCXTTrend,Xe3_XPC,1.0
FPU2,EU,PVCXT,Xe3_XPC,1.0
FPU2,EU,PVCDP,Xe3_XPC,1.0
FPU2,EU,PVC,Xe3_XPC,1.0
FPU2,EU,DG2,Xe3_XPC,1.0
FPU2,EU,Gen12HP,Xe3_XPC,1.0
FPU2,EU,Gen12DG,Xe3_XPC,1.0
FPU2,EU,Gen12HP_384,Xe3_XPC,1.0
FPU2,EU,Gen12HP_512,Xe3_XPC,1.0
FPU2,EU,Gen12LP,Xe3_XPC,1.0
FPU2,EU,Gen11,Xe3_XPC,1.0
FPU2,EU,Gen11LP,Xe3_XPC,1.0
FPU2,EU,Gen10LPSoC,Xe3_XPC,1.0
FPU2,EU,Gen10LP,Xe3_XPC,1.0
FPU2,EU,Gen9LPSoC,Xe3_XPC,1.0
FPU2,EU,Gen9LPClient,Xe3_XPC,1.0
FPU2,EU,Gen8SoC,Xe3_XPC,1.0
FPU2,EU,Gen8,Xe3_XPC,1.0
FPU2,EU,Gen7.5,Xe3_XPC,1.0
FPU2,EU,Gen7,Xe3_XPC,1.0
Base,Foveros,Xe3_XPC,Xe3_XPC,1.0
Base,Foveros,RLT1,Xe3_XPC,1.0
Base,Foveros,PVCXTTrend,Xe3_XPC,1.0
Base,Foveros,PVCXT,Xe3_XPC,1.0
Base,Foveros,PVCDP,Xe3_XPC,1.0
Base,Foveros,PVC,Xe3_XPC,1.0
Base,Foveros,DG2,Xe3_XPC,1.0
Base,Foveros,Gen12HP,Xe3_XPC,1.0
Base,Foveros,Gen12DG,Xe3_XPC,1.0
Base,Foveros,Gen12HP_384,Xe3_XPC,1.0
Base,Foveros,Gen12HP_512,Xe3_XPC,1.0
Base,Foveros,Gen12LP,Xe3_XPC,1.0
Base,Foveros,Gen11,Xe3_XPC,1.0
Base,Foveros,Gen11LP,Xe3_XPC,1.0
Base,Foveros,Gen10LPSoC,Xe3_XPC,1.0
Base,Foveros,Gen10LP,Xe3_XPC,1.0
Base,Foveros,Gen9LPSoC,Xe3_XPC,1.0
Base,Foveros,Gen9LPClient,Xe3_XPC,1.0
Base,Foveros,Gen8SoC,Xe3_XPC,1.0
Base,Foveros,Gen8,Xe3_XPC,1.0
Base,Foveros,Gen7.5,Xe3_XPC,1.0
Base,Foveros,Gen7,Xe3_XPC,1.0
TC,EU,Xe3_XPC,Xe3_XPC,1.0
TC,EU,RLT1,Xe3_XPC,1.0
TC,EU,PVCXTTrend,Xe3_XPC,1.0
TC,EU,PVCDP,Xe3_XPC,0.95
TC,EU,PVCXT,Xe3_XPC,1.0
TC,EU,PVC,Xe3_XPC,1.0
TC,EU,DG2,Xe3_XPC,1.0
TC,EU,Gen12HP,Xe3_XPC,1.0
TC,EU,Gen12DG,Xe3_XPC,1.0
TC,EU,Gen12LP,Xe3_XPC,1.0
TC,EU,Gen11LP,Xe3_XPC,1.06
TC,EU,Gen12HP_384,Xe3_XPC,1.0
TC,EU,Gen12HP_512,Xe3_XPC,1.0
TC,EU,Gen11,Xe3_XPC,1.0
TC,EU,Gen10LPSoC,Xe3_XPC,1.0
TC,EU,Gen10LP,Xe3_XPC,1.0
TC,EU,Gen9LPSoC,Xe3_XPC,1.0
TC,EU,Gen9LPClient,Xe3_XPC,1.0
TC,EU,Gen8SoC,Xe3_XPC,1.0
TC,EU,Gen8,Xe3_XPC,1.0
TC,EU,Gen7.5,Xe3_XPC,1.0
TC,EU,Gen7,Xe3_XPC,1.0
Fabrics,FabricsSpine,Xe3_XPC,Xe3_XPC,1.0
Fabrics,FabricsSpine,RLT1,Xe3_XPC,1.0
Fabrics,FabricsSpine,PVCXTTrend,Xe3_XPC,1.0
Fabrics,FabricsSpine,PVCXT,Xe3_XPC,1.0
Fabrics,FabricsSpine,PVCDP,Xe3_XPC,1.0
Fabrics,FabricsSpine,PVC,Xe3_XPC,1.0
Fabrics,FabricsSpine,DG2,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen12HP,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen12DG,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen12HP_384,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen12HP_512,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen12LP,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen11,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen11LP,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen10LPSoC,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen10LP,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen9LPSoC,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen9LPClient,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen8SoC,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen8,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen7.5,Xe3_XPC,1.0
Fabrics,FabricsSpine,Gen7,Xe3_XPC,1.0
FPU1,EU,Xe3_XPC,Xe3_XPC,1.0
FPU1,EU,RLT1,Xe3_XPC,1.0
FPU1,EU,PVCXTTrend,Xe3_XPC,1.0
FPU1,EU,PVCDP,Xe3_XPC,1.0
FPU1,EU,PVCXT,Xe3_XPC,1.0
FPU1,EU,PVC,Xe3_XPC,1.0
FPU1,EU,Gen12HP,Xe3_XPC,1.1725
FPU1,EU,Gen12LP,Xe3_XPC,1.1725
FPU1,EU,Gen11,Xe3_XPC,1.1725
FPU1,EU,Gen11LP,Xe3_XPC,1.1725
FPU1,EU,Gen10LP,Xe3_XPC,1.1725
FPU1,EU,Gen9LPSoC,Xe3_XPC,1.1725
FPU1,EU,Gen9LPClient,Xe3_XPC,1.1725
FPU1,EU,Gen8SoC,Xe3_XPC,1.1725
FPU1,EU,Gen8,Xe3_XPC,1.1725
FPU1,EU,DG2,Xe3_XPC,1.0
FPU1,EU,Gen12DG,Xe3_XPC,1.0
FPU1,EU,Gen11LP,Xe3_XPC,0.0
FPU1,EU,Gen12HP_384,Xe3_XPC,1.0
FPU1,EU,Gen12HP_512,Xe3_XPC,1.0
FPU1,EU,Gen10LPSoC,Xe3_XPC,1.0
FPU1,EU,Gen7.5,Xe3_XPC,1.0
FPU1,EU,Gen7,Xe3_XPC,1.0
DSS,Foveros,Xe3_XPC,Xe3_XPC,1.0
DSS,Foveros,RLT1,Xe3_XPC,1.0
DSS,Foveros,PVCXTTrend,Xe3_XPC,1.0
DSS,Foveros,PVCXT,Xe3_XPC,1.0
DSS,Foveros,PVCDP,Xe3_XPC,1.0
DSS,Foveros,PVC,Xe3_XPC,1.0
DSS,Foveros,DG2,Xe3_XPC,1.0
DSS,Foveros,Gen12HP,Xe3_XPC,1.0
DSS,Foveros,Gen12DG,Xe3_XPC,1.0
DSS,Foveros,Gen12HP_384,Xe3_XPC,1.0
DSS,Foveros,Gen12HP_512,Xe3_XPC,1.0
DSS,Foveros,Gen12LP,Xe3_XPC,1.0
DSS,Foveros,Gen11,Xe3_XPC,1.0
DSS,Foveros,Gen11LP,Xe3_XPC,1.0
DSS,Foveros,Gen10LPSoC,Xe3_XPC,1.0
DSS,Foveros,Gen10LP,Xe3_XPC,1.0
DSS,Foveros,Gen9LPSoC,Xe3_XPC,1.0
DSS,Foveros,Gen9LPClient,Xe3_XPC,1.0
DSS,Foveros,Gen8SoC,Xe3_XPC,1.0
DSS,Foveros,Gen8,Xe3_XPC,1.0
DSS,Foveros,Gen7.5,Xe3_XPC,1.0
DSS,Foveros,Gen7,Xe3_XPC,1.0
EM,EU,Xe3_XPC,Xe3_XPC,1.0
EM,EU,RLT1,Xe3_XPC,1.0
EM,EU,PVCXTTrend,Xe3_XPC,1.0
EM,EU,PVCXT,Xe3_XPC,1.0
EM,EU,PVCDP,Xe3_XPC,1.0
EM,EU,PVC,Xe3_XPC,1.0
EM,EU,DG2,Xe3_XPC,1.0
EM,EU,Gen12HP,Xe3_XPC,1.0
EM,EU,Gen12DG,Xe3_XPC,1.0
EM,EU,Gen11LP,Xe3_XPC,0.87
EM,EU,Gen12HP_384,Xe3_XPC,1.0
EM,EU,Gen12HP_512,Xe3_XPC,1.0
EM,EU,Gen12LP,Xe3_XPC,1.0
EM,EU,Gen11LP,Xe3_XPC,0.87
EM,EU,Gen11,Xe3_XPC,1.0
EM,EU,Gen10LPSoC,Xe3_XPC,1.0
EM,EU,Gen10LP,Xe3_XPC,1.0
EM,EU,Gen9LPSoC,Xe3_XPC,1.0
EM,EU,Gen9LPClient,Xe3_XPC,1.0
EM,EU,Gen8SoC,Xe3_XPC,1.0
EM,EU,Gen8,Xe3_XPC,1.0
EM,EU,Gen7.5,Xe3_XPC,1.0
EM,EU,Gen7,Xe3_XPC,1.0
GA,EU,Xe3_XPC,Xe3_XPC,1.0
GA,EU,RLT1,Xe3_XPC,1.0
GA,EU,PVCXTTrend,Xe3_XPC,1.0
GA,EU,PVCDP,Xe3_XPC,0.98
GA,EU,PVCXT,Xe3_XPC,1.0
GA,EU,PVC,Xe3_XPC,1.0
GA,EU,DG2,Xe3_XPC,1.0
GA,EU,Gen12HP,Xe3_XPC,1.0
GA,EU,Gen12DG,Xe3_XPC,1.0
GA,EU,Gen12LP,Xe3_XPC,1.0
GA,EU,Gen11LP,Xe3_XPC,0.9
GA,EU,Gen12HP_384,Xe3_XPC,1.0
GA,EU,Gen12HP_512,Xe3_XPC,1.0
GA,EU,Gen11,Xe3_XPC,1.0
GA,EU,Gen10LPSoC,Xe3_XPC,1.0
GA,EU,Gen10LP,Xe3_XPC,1.0
GA,EU,Gen9LPSoC,Xe3_XPC,1.0
GA,EU,Gen9LPClient,Xe3_XPC,1.0
GA,EU,Gen8SoC,Xe3_XPC,1.0
GA,EU,Gen8,Xe3_XPC,1.0
GA,EU,Gen7.5,Xe3_XPC,1.0
GA,EU,Gen7,Xe3_XPC,1.0
LSC,LSC,Xe3_XPC,Xe3_XPC,1.0
LSC,LSC,RLT1,Xe3_XPC,1.0
LSC,LSC,PVCXTTrend,Xe3_XPC,1.0
LSC,LSC,PVCXT,Xe3_XPC,1.0
LSC,LSC,PVCDP,Xe3_XPC,1.0
LSC,LSC,PVC,Xe3_XPC,1.0
LSC,LSC,DG2,Xe3_XPC,1.0
LSC,LSC,Gen12HP,Xe3_XPC,1.0
LSC,LSC,Gen12DG,Xe3_XPC,1.0
LSC,LSC,Gen12HP_384,Xe3_XPC,1.0
LSC,LSC,Gen12HP_512,Xe3_XPC,1.0
LSC,LSC,Gen12LP,Xe3_XPC,1.0
LSC,LSC,Gen11,Xe3_XPC,1.0
LSC,LSC,Gen11LP,Xe3_XPC,1.0
LSC,LSC,Gen10LPSoC,Xe3_XPC,1.0
LSC,LSC,Gen10LP,Xe3_XPC,1.0
LSC,LSC,Gen9LPSoC,Xe3_XPC,1.0
LSC,LSC,Gen9LPClient,Xe3_XPC,1.0
LSC,LSC,Gen8SoC,Xe3_XPC,1.0
LSC,LSC,Gen8,Xe3_XPC,1.0
LSC,LSC,Gen7.5,Xe3_XPC,1.0
LSC,LSC,Gen7,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Xe3_XPC,Xe3_XPC,1.0
SpineCompute,FabricsSpine,RLT1,Xe3_XPC,1.0
SpineCompute,FabricsSpine,PVCXTTrend,Xe3_XPC,1.0
SpineCompute,FabricsSpine,PVCXT,Xe3_XPC,1.0
SpineCompute,FabricsSpine,PVCDP,Xe3_XPC,1.0
SpineCompute,FabricsSpine,PVC,Xe3_XPC,1.0
SpineCompute,FabricsSpine,DG2,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen12HP,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen12DG,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen12HP_384,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen12HP_512,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen12LP,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen11,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen11LP,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen10LPSoC,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen10LP,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen9LPSoC,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen9LPClient,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen8SoC,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen8,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen7.5,Xe3_XPC,1.0
SpineCompute,FabricsSpine,Gen7,Xe3_XPC,1.0
FPU0,EU,Xe3_XPC,Xe3_XPC,1.0
FPU0,EU,RLT1,Xe3_XPC,1.0
FPU0,EU,PVCXTTrend,Xe3_XPC,1.0
FPU0,EU,PVCDP,Xe3_XPC,1.0
FPU0,EU,PVCXT,Xe3_XPC,1.0
FPU0,EU,PVC,Xe3_XPC,1.0
FPU0,EU,Gen12HP,Xe3_XPC,1.1725
FPU0,EU,Gen12LP,Xe3_XPC,1.1725
FPU0,EU,Gen11,Xe3_XPC,1.1725
FPU0,EU,Gen11LP,Xe3_XPC,1.1725
FPU0,EU,Gen10LP,Xe3_XPC,1.1725
FPU0,EU,Gen9LPSoC,Xe3_XPC,1.1725
FPU0,EU,Gen9LPClient,Xe3_XPC,1.1725
FPU0,EU,Gen8SoC,Xe3_XPC,1.1725
FPU0,EU,Gen8,Xe3_XPC,1.1725
FPU0,EU,DG2,Xe3_XPC,1.0
FPU0,EU,Gen12HP,Xe3_XPC,1.15
FPU0,EU,Gen12LP,Xe3_XPC,1.15
FPU0,EU,Gen11,Xe3_XPC,1.15
FPU0,EU,Gen11LP,Xe3_XPC,1.15
FPU0,EU,Gen10LP,Xe3_XPC,1.15
FPU0,EU,Gen9LPSoC,Xe3_XPC,1.15
FPU0,EU,Gen9LPClient,Xe3_XPC,1.15
FPU0,EU,Gen8SoC,Xe3_XPC,1.15
FPU0,EU,Gen8,Xe3_XPC,1.15
FPU0,EU,Gen12DG,Xe3_XPC,1.0
FPU0,EU,Gen11LP,Xe3_XPC,2.1
FPU0,EU,Gen12HP_384,Xe3_XPC,1.0
FPU0,EU,Gen12LP,Xe3_XPC,1.15
FPU0,EU,Gen11,Xe3_XPC,1.15
FPU0,EU,Gen11LP,Xe3_XPC,1.15
FPU0,EU,Gen10LP,Xe3_XPC,1.15
FPU0,EU,Gen9LPSoC,Xe3_XPC,1.15
FPU0,EU,Gen9LPClient,Xe3_XPC,1.15
FPU0,EU,Gen8SoC,Xe3_XPC,1.15
FPU0,EU,Gen8,Xe3_XPC,1.15
FPU0,EU,Gen12HP_512,Xe3_XPC,1.0
FPU0,EU,Gen12LP,Xe3_XPC,1.15
FPU0,EU,Gen11,Xe3_XPC,1.15
FPU0,EU,Gen11LP,Xe3_XPC,1.15
FPU0,EU,Gen10LP,Xe3_XPC,1.15
FPU0,EU,Gen9LPSoC,Xe3_XPC,1.15
FPU0,EU,Gen9LPClient,Xe3_XPC,1.15
FPU0,EU,Gen8SoC,Xe3_XPC,1.15
FPU0,EU,Gen8,Xe3_XPC,1.15
FPU0,EU,Gen10LPSoC,Xe3_XPC,1.0
FPU0,EU,Gen7.5,Xe3_XPC,1.0
FPU0,EU,Gen7,Xe3_XPC,1.0
ROW,ROW,Xe3_XPC,Xe3_XPC,1.0
ROW,ROW,RLT1,Xe3_XPC,1.0
ROW,ROW,PVCXTTrend,Xe3_XPC,1.0
ROW,ROW,PVCXT,Xe3_XPC,1.0
ROW,ROW,PVCDP,Xe3_XPC,1.0
ROW,ROW,PVC,Xe3_XPC,1.0
ROW,ROW,DG2,Xe3_XPC,1.0
ROW,ROW,Gen12HP,Xe3_XPC,1.0
ROW,ROW,Gen12DG,Xe3_XPC,1.0
ROW,ROW,Gen12HP_384,Xe3_XPC,1.0
ROW,ROW,Gen12HP_512,Xe3_XPC,1.0
ROW,ROW,Gen12LP,Xe3_XPC,1.0
ROW,ROW,Gen11,Xe3_XPC,1.0
ROW,ROW,Gen11LP,Xe3_XPC,1.0
ROW,ROW,Gen10LPSoC,Xe3_XPC,1.0
ROW,ROW,Gen10LP,Xe3_XPC,1.0
ROW,ROW,Gen9LPSoC,Xe3_XPC,1.0
